IDVenta,IDFecha,Fecha,IDProducto,IDCliente,IDVendedor,Cantidad,PrecioUnitario,Descuento,MontoTotal,CostoTotal
109,20230325,2023-03-25,1005,2053,36,29,14.79,0.0,428.91,217.5
110,20230325,2023-03-25,1007,2046,31,142,6.34,0.02,882.27,497.0
111,20230327,2023-03-27,1013,2053,36,9,67.28,0.0,605.52,252.0
112,20230327,2023-03-27,1004,2045,30,29,17.97,0.0,521.13,290.0
113,20230327,2023-03-27,1003,2008,33,34,23.86,0.0,811.24,408.0
114,20230327,2023-03-27,1017,2035,37,38,36.46,0.0,1385.48,570.0
115,20230328,2023-03-28,1007,2046,30,149,6.18,0.05,874.78,521.5
116,20230329,2023-03-29,1011,2008,30,7,78.65,0.0,550.55,245.0
117,20230329,2023-03-29,1001,2060,31,93,14.48,0.0,1346.64,744.0
118,20230330,2023-03-30,1015,2014,33,30,87.12,0.03,2535.19,1200.0
119,20230331,2023-03-31,1002,2060,36,101,18.61,0.02,1842.02,959.5
120,20230331,2023-03-31,1013,2045,37,15,62.16,0.0,932.4,420.0
121,20230401,2023-04-01,1003,2021,34,23,21.6,0.03,481.9,276.0
122,20230401,2023-04-01,1004,2043,32,61,18.17,0.0,1108.37,610.0
123,20230403,2023-04-03,1003,2042,35,24,20.5,0.0,492.0,288.0
124,20230403,2023-04-03,1001,2001,37,28,17.03,0.09,433.92,224.0
125,20230404,2023-04-04,1013,2011,33,41,69.11,0.07,2635.16,1148.0
126,20230404,2023-04-04,1005,2024,35,145,14.62,0.07,1971.51,1087.5
127,20230405,2023-04-05,1007,2025,33,449,7.33,0.09,2994.96,1571.5
128,20230405,2023-04-05,1013,2053,37,25,63.26,0.04,1518.24,700.0
129,20230406,2023-04-06,1009,2003,33,46,25.64,0.0,1179.44,552.0
130,20230406,2023-04-06,1007,2053,31,147,6.73,0.1,890.38,514.5
131,20230407,2023-04-07,1018,2034,33,8,13.88,0.08,102.16,48.0
132,20230407,2023-04-07,1007,2046,33,53,5.67,0.01,297.5,185.5
133,20230407,2023-04-07,1005,2034,31,22,14.17,0.0,311.74,165.0
134,20230408,2023-04-08,1007,2031,31,28,6.26,0.0,175.28,98.0
135,20230410,2023-04-10,1005,2031,36,20,14.13,0.0,282.6,150.0
136,20230411,2023-04-11,1013,2008,33,8,70.93,0.04,544.74,224.0
137,20230411,2023-04-11,1019,2022,37,70,33.9,0.0,2373.0,1120.0
138,20230411,2023-04-11,1005,2005,34,42,13.51,0.04,544.72,315.0
139,20230411,2023-04-11,1002,2027,31,24,18.83,0.08,415.77,228.0
140,20230412,2023-04-12,1017,2029,37,19,34.02,0.0,646.38,285.0
141,20230413,2023-04-13,1015,2017,30,77,81.37,0.0,6265.49,3080.0
142,20230413,2023-04-13,1005,2017,36,41,15.79,0.09,589.12,307.5
143,20230414,2023-04-14,1008,2027,33,22,9.16,0.12,177.34,99.0
144,20230414,2023-04-14,1019,2058,30,178,35.76,0.0,6365.28,2848.0
145,20230417,2023-04-17,1005,2060,33,34,13.51,0.0,459.34,255.0
146,20230418,2023-04-18,1001,2053,32,71,13.8,0.0,979.8,568.0
147,20230418,2023-04-18,1019,2058,35,50,35.51,0.0,1775.5,800.0
148,20230418,2023-04-18,1004,2008,37,354,17.38,0.0,6152.52,3540.0
149,20230418,2023-04-18,1005,2053,34,17,12.89,0.03,212.56,127.5
150,20230419,2023-04-19,1004,2042,34,294,18.49,0.05,5164.26,2940.0
151,20230419,2023-04-19,1012,2045,30,13,53.95,0.0,701.35,286.0
152,20230419,2023-04-19,1017,2025,33,24,31.22,0.0,749.28,360.0
153,20230419,2023-04-19,1006,2008,34,38,7.27,0.0,276.26,152.0
154,20230420,2023-04-20,1001,2008,37,195,17.12,0.13,2904.41,1560.0
155,20230422,2023-04-22,1009,2031,34,40,27.14,0.03,1053.03,480.0
156,20230423,2023-04-23,1007,2046,37,23,5.57,0.0,128.11,80.5
157,20230424,2023-04-24,1001,2026,33,97,14.5,0.05,1336.17,776.0
158,20230424,2023-04-24,1006,2060,30,29,7.32,0.0,212.28,116.0
159,20230425,2023-04-25,1006,2004,33,28,7.34,0.04,197.3,112.0
160,20230426,2023-04-26,1019,2058,36,26,33.82,0.0,879.32,416.0
161,20230426,2023-04-26,1018,2025,36,164,15.19,0.11,2217.13,984.0
162,20230427,2023-04-27,1005,2060,34,375,14.18,0.05,5051.62,2812.5
163,20230427,2023-04-27,1002,2011,37,29,18.94,0.03,532.78,275.5
164,20230427,2023-04-27,1015,2031,34,72,86.64,0.07,5801.41,2880.0
165,20230428,2023-04-28,1020,2056,31,406,43.96,0.06,16776.89,7714.0
166,20230428,2023-04-28,1004,2003,31,23,19.69,0.1,407.58,230.0
167,20230429,2023-04-29,1005,2060,30,65,14.06,0.0,913.9,487.5
168,20230502,2023-05-02,1014,2060,34,7,58.08,0.09,369.97,175.0
169,20230502,2023-05-02,1006,2026,31,38,6.43,0.0,244.34,152.0
170,20230503,2023-05-03,1001,2033,33,314,15.69,0.08,4532.53,2512.0
171,20230504,2023-05-04,1010,2030,37,40,42.02,0.06,1579.95,720.0
172,20230505,2023-05-05,1017,2008,34,13,36.38,0.0,472.94,195.0
173,20230505,2023-05-05,1013,2026,36,44,61.71,0.02,2660.94,1232.0
174,20230506,2023-05-06,1013,2053,33,149,66.22,0.0,9866.78,4172.0
175,20230506,2023-05-06,1001,2024,37,98,13.04,0.0,1277.92,784.0
176,20230506,2023-05-06,1013,2024,30,9,64.76,0.05,553.7,252.0
177,20230508,2023-05-08,1009,2034,36,9,32.23,0.0,290.07,108.0
178,20230509,2023-05-09,1005,2031,31,72,14.95,0.15,914.94,540.0
179,20230510,2023-05-10,1004,2031,35,388,20.14,0.05,7423.6,3880.0
180,20230510,2023-05-10,1007,2046,31,45,6.79,0.0,305.55,157.5
181,20230510,2023-05-10,1015,2031,33,78,75.58,0.0,5895.24,3120.0
182,20230511,2023-05-11,1001,2053,33,45,14.19,0.03,619.39,360.0
183,20230512,2023-05-12,1017,2042,35,6,33.3,0.0,199.8,90.0
184,20230513,2023-05-13,1011,2031,31,112,84.03,0.04,9034.91,3920.0
185,20230513,2023-05-13,1019,2058,33,82,42.69,0.13,3045.5,1312.0
186,20230515,2023-05-15,1001,2060,35,147,15.53,0.08,2100.28,1176.0
187,20230516,2023-05-16,1019,2034,37,59,35.62,0.02,2059.55,944.0
188,20230516,2023-05-16,1009,2024,30,43,25.71,0.0,1105.53,516.0
189,20230516,2023-05-16,1001,2024,31,136,13.81,0.02,1840.6,1088.0
190,20230517,2023-05-17,1005,2008,35,24,13.07,0.0,313.68,180.0
191,20230518,2023-05-18,1001,2021,32,269,13.84,0.0,3722.96,2152.0
192,20230519,2023-05-19,1001,2048,31,67,17.27,0.14,995.1,536.0
193,20230519,2023-05-19,1018,2034,33,10,13.72,0.07,127.6,60.0
194,20230519,2023-05-19,1009,2053,34,529,32.29,0.08,15714.9,6348.0
195,20230520,2023-05-20,1012,2008,37,9,46.19,0.0,415.71,198.0
196,20230520,2023-05-20,1019,2053,30,15,34.21,0.07,477.23,240.0
197,20230522,2023-05-22,1019,2043,36,20,32.99,0.0,659.8,320.0
198,20230522,2023-05-22,1018,2025,35,179,13.68,0.07,2277.31,1074.0
199,20230522,2023-05-22,1013,2030,37,46,79.77,0.02,3596.03,1288.0
200,20230522,2023-05-22,1002,2011,33,337,19.02,0.14,5512.38,3201.5
201,20230522,2023-05-22,1007,2046,33,121,6.27,0.0,758.67,423.5
202,20230522,2023-05-22,1005,2008,36,28,16.02,0.0,448.56,210.0
203,20230524,2023-05-24,1006,2025,36,58,9.05,0.13,456.66,232.0
204,20230524,2023-05-24,1005,2023,33,29,12.53,0.0,363.37,217.5
205,20230525,2023-05-25,1018,2008,36,68,13.5,0.12,807.84,408.0
206,20230526,2023-05-26,1002,2025,34,80,20.37,0.0,1629.6,760.0
207,20230527,2023-05-27,1001,2031,33,30,16.28,0.02,478.63,240.0
208,20230528,2023-05-28,1006,2046,30,52,7.77,0.1,363.64,208.0
209,20230529,2023-05-29,1004,2054,34,59,17.35,0.0,1023.65,590.0
210,20230529,2023-05-29,1001,2031,33,21,15.51,0.02,319.2,168.0
211,20230530,2023-05-30,1009,2053,31,59,31.42,0.0,1853.78,708.0
212,20230530,2023-05-30,1002,2057,36,17,16.78,0.0,285.26,161.5
213,20230530,2023-05-30,1015,2035,33,5,102.9,0.12,452.76,200.0
214,20230531,2023-05-31,1005,2021,31,67,14.58,0.0,976.86,502.5
215,20230531,2023-05-31,1006,2048,35,31,7.05,0.0,218.55,124.0
216,20230531,2023-05-31,1006,2046,35,52,7.81,0.03,393.94,208.0
217,20230601,2023-06-01,1001,2021,35,35,15.51,0.0,542.85,280.0
218,20230602,2023-06-02,1005,2023,35,38,14.45,0.0,549.1,285.0
219,20230603,2023-06-03,1011,2011,35,43,81.31,0.03,3391.44,1505.0
220,20230603,2023-06-03,1007,2046,31,45,6.99,0.02,308.26,157.5
221,20230605,2023-06-05,1019,2032,30,407,38.16,0.09,14133.32,6512.0
222,20230605,2023-06-05,1015,2060,30,22,90.29,0.03,1926.79,880.0
223,20230606,2023-06-06,1018,2008,33,22,10.8,0.0,237.6,132.0
224,20230606,2023-06-06,1013,2036,32,7,56.02,0.02,384.3,196.0
225,20230607,2023-06-07,1015,2031,30,84,90.84,0.08,7020.12,3360.0
226,20230607,2023-06-07,1013,2053,33,64,71.33,0.12,4017.31,1792.0
227,20230608,2023-06-08,1005,2008,33,34,14.78,0.0,502.52,255.0
228,20230609,2023-06-09,1004,2007,30,73,18.55,0.01,1340.61,730.0
229,20230612,2023-06-12,1018,2007,35,25,12.72,0.11,283.02,150.0
230,20230612,2023-06-12,1018,2005,31,19,12.09,0.0,229.71,114.0
231,20230613,2023-06-13,1007,2046,33,48,6.57,0.0,315.36,168.0
232,20230614,2023-06-14,1020,2021,36,26,36.6,0.0,951.6,494.0
233,20230615,2023-06-15,1013,2021,31,112,67.52,0.0,7562.24,3136.0
234,20230616,2023-06-16,1001,2034,37,134,14.47,0.0,1938.98,1072.0
235,20230616,2023-06-16,1001,2021,31,19,13.53,0.0,257.07,152.0
236,20230616,2023-06-16,1005,2043,31,584,14.57,0.05,8083.44,4380.0
237,20230616,2023-06-16,1007,2034,33,33,6.17,0.0,203.61,115.5
238,20230616,2023-06-16,1001,2045,34,90,14.28,0.02,1259.5,720.0
239,20230616,2023-06-16,1005,2024,33,59,13.42,0.0,791.78,442.5
240,20230617,2023-06-17,1019,2034,33,17,36.76,0.02,612.42,272.0
241,20230619,2023-06-19,1019,2022,33,7,34.56,0.09,220.15,112.0
242,20230620,2023-06-20,1007,2031,31,175,5.67,0.03,962.48,612.5
243,20230621,2023-06-21,1007,2046,35,24,5.52,0.0,132.48,84.0
244,20230623,2023-06-23,1001,2060,33,31,13.86,0.0,429.66,248.0
245,20230623,2023-06-23,1016,2027,36,10,46.39,0.0,463.9,200.0
246,20230624,2023-06-24,1019,2036,36,26,32.43,0.0,843.18,416.0
247,20230625,2023-06-25,1007,2025,31,412,5.84,0.0,2406.08,1442.0
248,20230626,2023-06-26,1003,2025,36,314,25.56,0.08,7383.77,3768.0
249,20230627,2023-06-27,1019,2036,36,14,30.37,0.0,425.18,224.0
250,20230627,2023-06-27,1003,2023,35,129,22.05,0.04,2730.67,1548.0
251,20230627,2023-06-27,1017,2031,37,8,33.41,0.0,267.28,120.0
252,20230629,2023-06-29,1006,2046,31,45,7.04,0.0,316.8,180.0
253,20230629,2023-06-29,1019,2034,30,62,37.75,0.15,1989.42,992.0
254,20230630,2023-06-30,1011,2027,36,9,77.53,0.0,697.77,315.0
255,20230703,2023-07-03,1001,2044,35,89,14.36,0.04,1226.92,712.0
256,20230703,2023-07-03,1015,2035,37,7,97.28,0.0,680.96,280.0
257,20230703,2023-07-03,1013,2031,34,13,72.41,0.0,941.33,364.0
258,20230704,2023-07-04,1013,2025,31,27,76.35,0.0,2061.45,756.0
259,20230704,2023-07-04,1018,2022,36,12,13.97,0.07,155.91,72.0
260,20230705,2023-07-05,1009,2027,32,12,33.21,0.0,398.52,144.0
261,20230706,2023-07-06,1002,2034,34,25,19.8,0.0,495.0,237.5
262,20230706,2023-07-06,1013,2034,30,11,69.2,0.0,761.2,308.0
263,20230708,2023-07-08,1019,2011,33,207,29.94,0.03,6011.65,3312.0
264,20230708,2023-07-08,1019,2033,33,24,32.8,0.0,787.2,384.0
265,20230711,2023-07-11,1009,2030,37,9,29.21,0.0,262.89,108.0
266,20230711,2023-07-11,1001,2036,34,31,14.55,0.0,451.05,248.0
267,20230712,2023-07-12,1002,2024,35,106,18.6,0.0,1971.6,1007.0
268,20230712,2023-07-12,1007,2046,33,26,6.41,0.0,166.66,91.0
269,20230712,2023-07-12,1005,2008,36,34,15.07,0.0,512.38,255.0
270,20230712,2023-07-12,1001,2057,37,134,15.85,0.0,2123.9,1072.0
271,20230712,2023-07-12,1018,2021,36,18,13.17,0.0,237.06,108.0
272,20230712,2023-07-12,1015,2054,31,8,81.0,0.02,635.04,320.0
273,20230713,2023-07-13,1019,2024,34,26,29.29,0.0,761.54,416.0
274,20230714,2023-07-14,1005,2008,30,24,14.55,0.0,349.2,180.0
275,20230714,2023-07-14,1015,2035,37,8,88.71,0.0,709.68,320.0
276,20230714,2023-07-14,1011,2052,34,29,85.47,0.08,2280.34,1015.0
277,20230717,2023-07-17,1018,2008,30,18,12.93,0.06,218.78,108.0
278,20230717,2023-07-17,1019,2042,34,67,35.43,0.02,2326.33,1072.0
279,20230719,2023-07-19,1015,2034,36,4,100.8,0.0,403.2,160.0
280,20230719,2023-07-19,1020,2011,36,64,42.09,0.11,2397.45,1216.0
281,20230720,2023-07-20,1006,2046,35,195,6.61,0.02,1263.17,780.0
282,20230721,2023-07-21,1020,2053,33,169,37.47,0.07,5889.16,3211.0
283,20230721,2023-07-21,1007,2004,30,32,6.67,0.0,213.44,112.0
284,20230722,2023-07-22,1006,2021,30,57,7.04,0.02,393.25,228.0
285,20230724,2023-07-24,1004,2024,37,37,19.04,0.0,704.48,370.0
286,20230724,2023-07-24,1007,2046,36,42,7.26,0.06,286.62,147.0
287,20230725,2023-07-25,1005,2021,36,113,15.06,0.0,1701.78,847.5
288,20230725,2023-07-25,1001,2053,34,120,17.03,0.1,1839.24,960.0
289,20230726,2023-07-26,1008,2046,33,130,8.36,0.0,1086.8,585.0
290,20230726,2023-07-26,1005,2008,37,27,14.99,0.0,404.73,202.5
291,20230727,2023-07-27,1007,2046,31,163,6.6,0.09,978.98,570.5
292,20230728,2023-07-28,1018,2008,33,24,11.12,0.0,266.88,144.0
293,20230729,2023-07-29,1015,2034,30,28,85.18,0.0,2385.04,1120.0
294,20230729,2023-07-29,1002,2060,37,20,17.05,0.0,341.0,190.0
295,20230731,2023-07-31,1002,2021,31,42,18.6,0.0,781.2,399.0
296,20230801,2023-08-01,1005,2025,30,418,14.25,0.0,5956.5,3135.0
297,20230802,2023-08-02,1013,2033,31,36,76.17,0.08,2522.75,1008.0
298,20230803,2023-08-03,1005,2034,33,29,15.38,0.03,432.64,217.5
299,20230804,2023-08-04,1007,2027,35,203,6.31,0.0,1280.93,710.5
300,20230805,2023-08-05,1018,2008,34,78,13.37,0.0,1042.86,468.0
301,20230810,2023-08-10,1015,2029,33,22,85.18,0.01,1855.22,880.0
302,20230810,2023-08-10,1009,2024,34,8,29.38,0.08,216.24,96.0
303,20230815,2023-08-15,1017,2053,37,34,32.43,0.0,1102.62,510.0
304,20230816,2023-08-16,1019,2034,34,19,36.25,0.0,688.75,304.0
305,20230817,2023-08-17,1013,2031,37,28,62.44,0.01,1730.84,784.0
306,20230817,2023-08-17,1019,2050,31,44,31.7,0.03,1352.96,704.0
307,20230818,2023-08-18,1006,2046,30,59,6.99,0.0,412.41,236.0
308,20230819,2023-08-19,1008,2051,37,40,7.46,0.0,298.4,180.0
309,20230819,2023-08-19,1001,2025,37,333,16.14,0.0,5374.62,2664.0
310,20230822,2023-08-22,1001,2034,35,199,15.14,0.0,3012.86,1592.0
311,20230822,2023-08-22,1001,2008,31,303,15.08,0.06,4295.09,2424.0
312,20230822,2023-08-22,1007,2046,36,24,6.13,0.0,147.12,84.0
313,20230823,2023-08-23,1019,2058,34,470,39.21,0.14,15848.68,7520.0
314,20230826,2023-08-26,1006,2046,36,122,8.16,0.0,995.52,488.0
315,20230829,2023-08-29,1013,2030,33,12,64.45,0.0,773.4,336.0
316,20230830,2023-08-30,1005,2008,37,26,14.11,0.0,366.86,195.0
317,20230831,2023-08-31,1006,2004,35,27,6.87,0.0,185.49,108.0
318,20230901,2023-09-01,1002,2008,33,15,18.16,0.0,272.4,142.5
319,20230904,2023-09-04,1013,2030,30,7,76.75,0.08,494.27,196.0
320,20230905,2023-09-05,1002,2026,37,36,17.44,0.0,627.84,342.0
321,20230905,2023-09-05,1001,2024,33,36,14.95,0.0,538.2,288.0
322,20230906,2023-09-06,1001,2008,32,385,18.11,0.14,5996.22,3080.0
323,20230907,2023-09-07,1002,2028,32,29,20.11,0.0,583.19,275.5
324,20230907,2023-09-07,1002,2060,36,32,17.23,0.0,551.36,304.0
325,20230909,2023-09-09,1020,2058,30,40,45.24,0.0,1809.6,760.0
326,20230909,2023-09-09,1006,2025,33,377,6.68,0.04,2417.63,1508.0
327,20230911,2023-09-11,1015,2031,31,12,98.49,0.12,1040.05,480.0
328,20230911,2023-09-11,1003,2052,37,100,24.18,0.07,2248.74,1200.0
329,20230912,2023-09-12,1005,2027,34,27,12.29,0.0,331.83,202.5
330,20230912,2023-09-12,1007,2031,34,158,5.97,0.03,914.96,553.0
331,20230913,2023-09-13,1013,2018,34,16,58.81,0.03,912.73,448.0
332,20230913,2023-09-13,1001,2034,34,28,14.35,0.0,401.8,224.0
333,20230913,2023-09-13,1013,2030,36,7,64.08,0.02,439.59,196.0
334,20230914,2023-09-14,1018,2057,30,85,12.27,0.03,1011.66,510.0
335,20230914,2023-09-14,1007,2046,30,35,5.59,0.0,195.65,122.5
336,20230915,2023-09-15,1004,2001,36,21,18.25,0.03,371.75,210.0
337,20230916,2023-09-16,1001,2053,37,48,16.1,0.03,749.62,384.0
338,20230916,2023-09-16,1006,2046,37,155,6.77,0.0,1049.35,620.0
339,20230918,2023-09-18,1009,2007,32,47,30.41,0.0,1429.27,564.0
340,20230918,2023-09-18,1019,2060,31,97,34.51,0.13,2912.3,1552.0
341,20230918,2023-09-18,1002,2044,36,271,17.71,0.07,4463.45,2574.5
342,20230919,2023-09-19,1002,2034,36,120,19.13,0.0,2295.6,1140.0
343,20230919,2023-09-19,1007,2046,31,28,6.29,0.0,176.12,98.0
344,20230919,2023-09-19,1007,2004,32,132,6.08,0.02,786.51,462.0
345,20230920,2023-09-20,1013,2030,33,105,76.41,0.0,8023.05,2940.0
346,20230921,2023-09-21,1019,2021,33,63,33.05,0.03,2019.69,1008.0
347,20230923,2023-09-23,1011,2030,32,14,85.01,0.04,1142.53,490.0
348,20230926,2023-09-26,1009,2011,32,92,29.95,0.02,2700.29,1104.0
349,20230929,2023-09-29,1015,2029,31,8,88.96,0.0,711.68,320.0
